LOGP	NORM_QNORM
-23.706	-6.46498584004311
-23.705	-6.46483462152039
-23.704	-6.46468339961241
-23.703	-6.46453217431893
-23.702	-6.46438094563975
-23.701	-6.46422971357463
-23.700	-6.46407847812334
-23.699	-6.46392723928567
-23.698	-6.46377599706139
-23.697	-6.46362475145028
-23.696	-6.46347350245211
-23.695	-6.46332225006665
-23.694	-6.46317099429369
-23.693	-6.46301973513299
-23.692	-6.46286847258433
-23.691	-6.46271720664749
-23.690	-6.46256593732225
-23.689	-6.46241466460837
-23.688	-6.46226338850564
-23.687	-6.46211210901383
-23.686	-6.46196082613271
-23.685	-6.46180953986206
-23.684	-6.46165825020166
-23.683	-6.46150695715127
-23.682	-6.46135566071068
-23.681	-6.46120436087966
-23.680	-6.46105305765799
-23.679	-6.46090175104543
-23.678	-6.46075044104178
-23.677	-6.46059912764678
-23.676	-6.46044781086024
-23.675	-6.46029649068192
-23.674	-6.46014516711159
-23.673	-6.45999384014903
-23.672	-6.45984250979402
-23.671	-6.45969117604632
-23.670	-6.45953983890572
-23.669	-6.45938849837199
-23.668	-6.45923715444491
-23.667	-6.45908580712424
-23.666	-6.45893445640977
-23.665	-6.45878310230126
-23.664	-6.4586317447985
-23.663	-6.45848038390126
-23.662	-6.45832901960931
-23.661	-6.45817765192242
-23.660	-6.45802628084038
-23.659	-6.45787490636295
-23.658	-6.45772352848992
-23.657	-6.45757214722105
-23.656	-6.45742076255612
-23.655	-6.4572693744949
-23.654	-6.45711798303717
-23.653	-6.4569665881827
-23.652	-6.45681518993128
-23.651	-6.45666378828266
-23.650	-6.45651238323663
-23.649	-6.45636097479296
-23.648	-6.45620956295143
-23.647	-6.4560581477118
-23.646	-6.45590672907386
-23.645	-6.45575530703737
-23.644	-6.45560388160212
-23.643	-6.45545245276787
-23.642	-6.4553010205344
-23.641	-6.45514958490149
-23.640	-6.4549981458689
-23.639	-6.45484670343641
-23.638	-6.45469525760381
-23.637	-6.45454380837085
-23.636	-6.45439235573732
-23.635	-6.45424089970298
-23.634	-6.45408944026762
-23.633	-6.453937977431
-23.632	-6.4537865111929
-23.631	-6.4536350415531
-23.630	-6.45348356851136
-23.629	-6.45333209206747
-23.628	-6.45318061222119
-23.627	-6.4530291289723
-23.626	-6.45287764232057
-23.625	-6.45272615226578
-23.624	-6.4525746588077
-23.623	-6.45242316194611
-23.622	-6.45227166168077
-23.621	-6.45212015801146
-23.620	-6.45196865093795
-23.619	-6.45181714046003
-23.618	-6.45166562657746
-23.617	-6.45151410929001
-23.616	-6.45136258859746
-23.615	-6.45121106449958
-23.614	-6.45105953699615
-23.613	-6.45090800608694
-23.612	-6.45075647177172
-23.611	-6.45060493405026
-23.610	-6.45045339292235
-23.609	-6.45030184838775
-23.608	-6.45015030044623
-23.607	-6.44999874909758
-23.606	-6.44984719434155
-23.605	-6.44969563617793
-23.604	-6.44954407460649
-23.603	-6.44939250962701
-23.602	-6.44924094123924
-23.601	-6.44908936944298
-23.600	-6.44893779423799
-23.599	-6.44878621562404
-23.598	-6.4486346336009
-23.597	-6.44848304816836
-23.596	-6.44833145932618
